Fold,Accuracy,TP,TN,FP,FN,FPR,FNR,TSS,HSS
1,0.5118110236220472,24,106,21,103,0.16535433070866143,0.8110236220472441,0.023622047244094474,0.023622047244094488
2,0.547244094488189,102,37,82,33,0.6890756302521008,0.24444444444444444,0.0664799253034547,0.06814266573087475
3,0.5511811023622047,88,52,78,36,0.6,0.2903225806451613,0.10967741935483877,0.10882678813246338
4,0.541501976284585,51,86,43,73,0.3333333333333333,0.5887096774193549,0.07795698924731187,0.07832422586520947
5,0.5375494071146245,96,40,89,28,0.689922480620155,0.22580645161290322,0.08427106776694171,0.08347524537882775
6,0.5335968379446641,84,51,63,55,0.5526315789473685,0.39568345323741005,0.05168496781522147,0.05201320970405182
7,0.49407114624505927,6,119,3,125,0.02459016393442623,0.9541984732824428,0.021211362783131023,0.020506926380739216
8,0.5059288537549407,8,120,7,118,0.05511811023622047,0.9365079365079365,0.008373953255843017,0.00840309785846424
9,0.5533596837944664,51,89,44,69,0.3308270676691729,0.575,0.09417293233082707,0.09514163633486311
10,0.5612648221343873,114,28,91,20,0.7647058823529411,0.14925373134328357,0.08604038630377531,0.08901287832095241
