Fold,Accuracy,TP,TN,FP,FN,FPR,FNR,TSS,HSS
1,0.5291828793774319,64,72,68,53,0.4857142857142857,0.452991452991453,0.061294261294261354,0.060655490107234554
2,0.48828125,71,54,68,63,0.5573770491803278,0.4701492537313433,-0.02752630291167113,-0.027576908934918494
3,0.51953125,63,70,56,67,0.4444444444444444,0.5153846153846153,0.040170940170940195,0.04011705889525668
4,0.55859375,72,71,53,60,0.4274193548387097,0.45454545454545453,0.11803519061583573,0.11783361795559892
5,0.4609375,63,55,76,62,0.5801526717557252,0.496,-0.07615267175572515,-0.07595784857160261
6,0.50390625,62,67,63,64,0.4846153846153846,0.5079365079365079,0.007448107448107422,0.007449016973989498
7,0.5234375,74,60,59,63,0.4957983193277311,0.45985401459854014,0.04434766607372875,0.04424995409755799
8,0.46484375,60,59,66,71,0.528,0.5419847328244275,-0.06998473282442752,-0.06992068334350214
9,0.5234375,69,65,57,65,0.4672131147540984,0.48507462686567165,0.04771225838023002,0.047572578677726275
10,0.5,74,54,72,56,0.5714285714285714,0.4307692307692308,-0.00219780219780219,-0.002202104232933692
