Fold,Accuracy,TP,TN,FP,FN,FPR,FNR,TSS,HSS
1,0.49411764705882355,64,62,62,67,0.5,0.5114503816793893,-0.011450381679389332,-0.011438059219629185
2,0.5019607843137255,71,57,78,49,0.5777777777777777,0.4083333333333333,0.01388888888888895,0.013704888076747372
3,0.5254901960784314,71,63,73,48,0.5367647058823529,0.40336134453781514,0.05987394957983194,0.05909797822706065
4,0.47058823529411764,62,58,61,74,0.5126050420168067,0.5441176470588235,-0.05672268907563022,-0.056338028169014086
5,0.5098039215686274,57,73,46,79,0.3865546218487395,0.5808823529411765,0.03256302521008403,0.03200826019617966
6,0.5450980392156862,75,64,67,49,0.5114503816793893,0.3951612903225806,0.0933883279980301,0.09302753418777213
7,0.5490196078431373,75,65,55,60,0.4583333333333333,0.4444444444444444,0.09722222222222227,0.09699769053117784
8,0.5411764705882353,73,65,51,66,0.4396551724137931,0.4748201438848921,0.08552468370131477,0.0846193968029945
9,0.5176470588235295,61,71,58,65,0.4496124031007752,0.5158730158730159,0.03451458102620891,0.03453689167974882
10,0.5275590551181102,70,64,63,57,0.49606299212598426,0.44881889763779526,0.055118110236220486,0.05511811023622047
