Fold,Accuracy,TP,TN,FP,FN,FPR,FNR,TSS,HSS,Model
1,0.5291828793774319,64,72,68,53,0.4857142857142857,0.452991452991453,0.0612942612942613,0.0606554901072345,Random Forest
2,0.48828125,71,54,68,63,0.5573770491803278,0.4701492537313433,-0.0275263029116711,-0.0275769089349184,Random Forest
3,0.51953125,63,70,56,67,0.4444444444444444,0.5153846153846153,0.0401709401709401,0.0401170588952566,Random Forest
4,0.55859375,72,71,53,60,0.4274193548387097,0.4545454545454545,0.1180351906158357,0.1178336179555989,Random Forest
5,0.4609375,63,55,76,62,0.5801526717557252,0.496,-0.0761526717557251,-0.0759578485716026,Random Forest
6,0.50390625,62,67,63,64,0.4846153846153846,0.5079365079365079,0.0074481074481074,0.0074490169739894,Random Forest
7,0.5234375,74,60,59,63,0.4957983193277311,0.4598540145985401,0.0443476660737287,0.0442499540975579,Random Forest
8,0.46484375,60,59,66,71,0.528,0.5419847328244275,-0.0699847328244275,-0.0699206833435021,Random Forest
9,0.5234375,69,65,57,65,0.4672131147540984,0.4850746268656716,0.04771225838023,0.0475725786777262,Random Forest
10,0.5,74,54,72,56,0.5714285714285714,0.4307692307692308,-0.0021978021978021,-0.0022021042329336,Random Forest
1,0.47265625,0,121,0,135,0.0,1.0,0.0,0.0,Decision Tree
2,0.49609375,0,127,0,129,0.0,1.0,0.0,0.0,Decision Tree
3,0.5078125,130,0,126,0,1.0,0.0,0.0,0.0,Decision Tree
4,0.4765625,0,122,0,134,0.0,1.0,0.0,0.0,Decision Tree
5,0.49609375,127,0,129,0,1.0,0.0,0.0,0.0,Decision Tree
6,0.5137254901960784,131,0,124,0,1.0,0.0,0.0,0.0,Decision Tree
7,0.5294117647058824,0,135,0,120,0.0,1.0,0.0,0.0,Decision Tree
8,0.5450980392156862,139,0,116,0,1.0,0.0,0.0,0.0,Decision Tree
9,0.5294117647058824,0,135,0,120,0.0,1.0,0.0,0.0,Decision Tree
10,0.4941176470588235,0,126,0,129,0.0,1.0,0.0,0.0,Decision Tree
1,0.4941176470588235,64,62,62,67,0.5,0.5114503816793893,-0.0114503816793893,-0.0114380592196291,SVM
2,0.5019607843137255,71,57,78,49,0.5777777777777777,0.4083333333333333,0.0138888888888889,0.0137048880767473,SVM
3,0.5254901960784314,71,63,73,48,0.5367647058823529,0.4033613445378151,0.0598739495798319,0.0590979782270606,SVM
4,0.4705882352941176,62,58,61,74,0.5126050420168067,0.5441176470588235,-0.0567226890756302,-0.056338028169014,SVM
5,0.5098039215686274,57,73,46,79,0.3865546218487395,0.5808823529411765,0.032563025210084,0.0320082601961796,SVM
6,0.5450980392156862,75,64,67,49,0.5114503816793893,0.3951612903225806,0.0933883279980301,0.0930275341877721,SVM
7,0.5490196078431373,75,65,55,60,0.4583333333333333,0.4444444444444444,0.0972222222222222,0.0969976905311778,SVM
8,0.5411764705882353,73,65,51,66,0.4396551724137931,0.4748201438848921,0.0855246837013147,0.0846193968029945,SVM
9,0.5176470588235295,61,71,58,65,0.4496124031007752,0.5158730158730159,0.0345145810262089,0.0345368916797488,SVM
10,0.5275590551181102,70,64,63,57,0.4960629921259842,0.4488188976377952,0.0551181102362204,0.0551181102362204,SVM
1,0.5118110236220472,24,106,21,103,0.1653543307086614,0.8110236220472441,0.0236220472440944,0.0236220472440944,LSTM
2,0.547244094488189,102,37,82,33,0.6890756302521008,0.2444444444444444,0.0664799253034547,0.0681426657308747,LSTM
3,0.5511811023622047,88,52,78,36,0.6,0.2903225806451613,0.1096774193548387,0.1088267881324633,LSTM
4,0.541501976284585,51,86,43,73,0.3333333333333333,0.5887096774193549,0.0779569892473118,0.0783242258652094,LSTM
5,0.5375494071146245,96,40,89,28,0.689922480620155,0.2258064516129032,0.0842710677669417,0.0834752453788277,LSTM
6,0.5335968379446641,84,51,63,55,0.5526315789473685,0.39568345323741,0.0516849678152214,0.0520132097040518,LSTM
7,0.4940711462450592,6,119,3,125,0.0245901639344262,0.9541984732824428,0.021211362783131,0.0205069263807392,LSTM
8,0.5059288537549407,8,120,7,118,0.0551181102362204,0.9365079365079364,0.008373953255843,0.0084030978584642,LSTM
9,0.5533596837944664,51,89,44,69,0.3308270676691729,0.575,0.094172932330827,0.0951416363348631,LSTM
10,0.5612648221343873,114,28,91,20,0.7647058823529411,0.1492537313432835,0.0860403863037753,0.0890128783209524,LSTM
